Nome_Editora;Endereco;Telefone;Site;Tradutor
Zahar;"Ladeira Joana Vieira, 52
Concórdia
88124-928 Peixoto do Sul / PR";0500-827-0768;http://www.rodrigues.org/;Lívia Casa Grande
Editora 34;"Alameda de Sousa, 4
Vila Copasa
68390-111 da Cunha de Borges / MG";+55 31 6279 8044;https://cassiano.com/;Sr. Carlos Eduardo Viana
Panini;"Rodovia Manuela da Cruz, 8
Vila Rica
15141-283 Barros / MA";(084) 4825 8942;https://gomes.com/;Camila Novais
Record;"Rodovia Alícia Leão, 9
Santa Rita De Cássia
26767-434 Lopes / RS";(031) 5016-1547;http://da.com/;José Miguel Barros
Companhia das Letras;"Parque de Silveira
Santa Tereza
02895280 Casa Grande / PI";+55 21 7712-9911;https://da.br/;Sophia Fernandes
HarperCollins;"Aeroporto Pimenta, 924
Campo Alegre
98659593 Guerra / AP";+55 84 7203-1340;http://www.barros.br/;Dr. Eduardo Lopes
Editora Rocco;"Lagoa de Barros, 44
Vila Havaí
98590-023 da Mota do Oeste / PE";+55 31 2274-4762;https://ribeiro.br/;Anthony Gabriel Farias
Aleph;"Loteamento Heloisa Peixoto, 5
Vila União
43977-006 Guerra do Galho / PI";0900 697 7132;https://www.da.br/;Caroline Sá
Intrínseca;"Estrada de Nascimento, 81
Biquinhas
32150406 da Paz do Norte / BA";61 9631-6339;https://www.pimenta.com/;Maria Laura Câmara
Penguin Brasil;"Estação Maria Clara Pires
Pompéia
71493-186 Duarte da Prata / MT";+55 (041) 3467-7648;http://costela.com/;José Miguel Teixeira
